content,author_comment,editor_memo,create_datetime,author_url,author,license
君の髪を解いて、もう痛くないよ。ってそう言ってみたそんな夜だった,,,"Jul 7, 2025 9:55 pm",https://x.com/uchchu__nei,寧井,CC BY-NC-ND 4.0
繰り返すサイトカインストームと闘ってボクらの舌はいつだって苺色,,,"Jul 4, 2025 11:27 am",https://x.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
もう目覚めない白鳩を胸に抱きしずかに棺となる鳩時計,,,"Jul 1, 2025 3:24 pm",https://x.com/_i_il_i_,メタのおわり,CC BY-NC-ND 4.0
水をその器にたたえ揺れているハイドレンジア、泣いておしまい,,,"Jul 5, 2025 8:01 pm",https://x.com/okukasumi,奥　かすみ,CC BY-NC-ND 4.0
"扇風機に「あとすこし頑張ってればヘリコプターだったのに」と言うの？
",,,"Jun 30, 2025 4:39 pm",https://x.com/murasaki_zanshi,村崎残滓,CC BY-NC-ND 4.0
あなたにはこれからの日が　私には過ぎ去った日が車窓に映る,,,"Jun 30, 2025 9:14 pm",https://x.com/OkadaDouitsu,岡田道一,CC BY-NC-ND 4.0
ラストラン誰のためにか予約したレストランには箸が無かった,,,"Jul 1, 2025 7:34 pm",https://x.com/no_rain_no_kasa,琉生,CC BY-NC-ND 4.0
ユニコーンの眉毛に惚れて飛び乗ったロイヤルホストまでと叫んで,ロイヤルホスト欲が高まってグーグルで最寄りのロイヤルホストを調べたら130kmと出てギョッとしてます,,"Jun 30, 2025 6:04 am",https://x.com/seiji_skywalker,まつのせいじ,CC BY-NC-ND 4.0
解なしという数学の解がありそういう午後の教室にいる,,,"Jul 1, 2025 9:28 am",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
人はなぜ戦(いくさ)で街をこわすのかストーンヘンジに満月のぼる,短歌研究新人賞予選通過作,,"Jun 29, 2025 3:29 pm",https://x.com/tsubaki4321,椿泰文,CC BY-NC-ND 4.0
かなしいの類語集めたエクセルの重さをｋで計るかなしみ,,,"Jul 1, 2025 1:37 am",https://x.com/ukey.d,田 幸樹枝,CC BY-NC-ND 4.0
もし巨女に言いたいことがあるときは鉄塔に貼るといいよ付箋を,,,"Jul 6, 2025 10:32 pm",https://x.com/TEN_57577,てん,CC BY-NC-ND 4.0
枝は空に埋まった根っこ逆立ちをして埋まってる世界,,,"Jun 29, 2025 7:00 am",https://x.com/SdkyvYNyii36997,たな,CC BY-NC-ND 4.0
薔薇騎士のあなたのうなじから香る紅いいのちを計りかねてる,,,"Jun 30, 2025 9:46 pm",https://x.com/Loswell612,白川楼瑠,CC BY-NC-ND 4.0
開館前スポットライトが灯ったら作品たちは目覚めはじめる,,,"Jul 3, 2025 12:14 am",https://x.com/_the_goldfish_,折戸みおこ,CC BY-NC-ND 4.0
この夏は一緒に食べるはずだった スイカかち割り飛び散る果肉,スイカ丸ごとはさすがに一人では食べきれないはず。もし（彼氏の浮気などで）食べようとして食べれない事態が起こった時怒りはスイカに向かうのではないかと思いました。,,"Jul 1, 2025 11:10 pm",https://x.com/tyrannos818181,さに。,CC BY-NC-ND 4.0
列をなすステロイドたち週末の会えない動物たちを数えて,,,"Jul 1, 2025 4:08 pm",https://x.com/ttmx6,畳川鷺々,CC BY-NC-ND 4.0
もうママを辞めたいなんて言ったことマックシェイクで吸い込んでいる,,,"Jul 5, 2025 8:01 pm",https://x.com/okukasumi,奥　かすみ,CC BY-NC-ND 4.0
やさしくて何もない浜辺でひとりお城を作り神さまになる,,,"Jul 1, 2025 3:19 pm",https://x.com/koromo_GuwuGzzz,照屋衣,CC BY-NC-ND 4.0
てっぺんのいちごはあげるはずだったかわいい君より自分がかわいい,,,"Jun 30, 2025 11:14 pm",https://x.com/Mii610248580331,おしいれのほや,CC BY-NC-ND 4.0
水出しの薄い麦茶に慣れたときふたり暮らしはAメロになる,,,"Jun 29, 2025 4:46 pm",https://x.com/FN7rh,みなせ　あさ,CC BY-NC-ND 4.0
これまでの人生の伏線回収　教科書どおりに固まるプリン,,,"Jul 1, 2025 11:28 pm",https://x.com/Itsuki_Mao,しみず,CC BY-NC-ND 4.0
君の音は歓びなのか悲しみか受けとめられぬまた夏が来る,,,"Jul 7, 2025 8:59 pm",https://x.com/nioibanmatsuri1 ,匂蕃茉莉,CC BY-NC-ND 4.0
ただきみとうまく話せれば嬉しくてつめたい水が甘いみたいに,,,"Jul 2, 2025 2:26 pm",https://x.com/aonosaku31,青野 朔,CC BY-NC-ND 4.0
街の灯のひとつひとつがぎらつきを隠さなくなる夏を含んで,,,"Jul 6, 2025 11:35 pm",https://x.com/tenran_harugiri,せんぱい,CC BY-NC-ND 4.0
ペイペイで送ってもらう割り勘のどこかバファリンに似た溶けやすさ,,,"Jul 2, 2025 2:27 pm",https://x.com/aonosaku31,青野 朔,CC BY-NC-ND 4.0
玉ねぎを千に切る音涼しくて初夏の鼓膜に雪を踏む音,,,"Jul 7, 2025 3:49 pm",https://x.com/nagikawase,川瀬十萠子,CC BY-NC-ND 4.0
ヒグラシを殺したくなる八月の露天の風呂の水面の赤さ,露天風呂付き客室の記憶。,,"Jul 7, 2025 9:42 pm",https://x.com/misosarasenryu,鯖虎,CC BY-NC-ND 4.0
前髪はどうしたかったですかってなぜ切ってから聞いたのですか,初出：6/27短歌アプリ57577『前髪』,,"Jul 1, 2025 12:24 am",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
咳すれば治るたちまちに俳人が分け入る山に不思議な泉,,,"Jul 1, 2025 5:26 am",https://x.com/Zmc10Goku,じもぶん,CC BY-NC-ND 4.0
お互いに口内炎をみせあって祝日のない月の伴走,,,"Jul 1, 2025 9:36 am",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
わたくしをさらってくれと言い放つスパティフィラムの目に迷いはない,,,"Jul 5, 2025 8:00 pm",https://x.com/okukasumi,奥　かすみ,CC BY-NC-ND 4.0
甘くないならジャムにしちゃえばいいのよ、と綺麗に恋をしてきたのだろう,,,"Jul 1, 2025 7:37 pm",https://x.com/no_rain_no_kasa,琉生,CC BY-NC-ND 4.0
億万の時を隔てて恐竜も見上げた空の青　ホモ・サピエンス,,,"Jun 30, 2025 8:16 pm",https://x.com/Chiku_tanka,知久,CC BY-NC-ND 4.0
冷房が吹きすさぶ街各々が携帯カイロで暖をとる街,,,"Jun 30, 2025 11:14 pm",https://x.com/Mii610248580331,おしいれのほや,CC BY-NC-ND 4.0
考えをまとめるために泡切れの悪いシャンプー探しています,,,"Jun 29, 2025 9:42 pm",https://x.com/chaba_tea1,茶葉,CC BY-NC-ND 4.0
大丈夫　きっと明日も大丈夫　誕生したくなかった君も,,,"Jul 1, 2025 3:13 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
気づいてる、あなたを見てるときわたし角度がとても鈍角だから,,,"Jun 30, 2025 9:47 pm",https://x.com/Loswell612,白川楼瑠,CC BY-NC-ND 4.0
鏡像を見ているわたしうしろから重なるようにあいを与える,,,"Jul 7, 2025 8:29 pm",https://x.com/m_iya_o,水也,CC BY-NC-ND 4.0
渡ってく自転車の群れが昨日より白くひかって　夏が来るんだ,,,"Jun 30, 2025 6:20 pm",https://x.com/marja0312tk,まる弥,CC BY-NC-ND 4.0
また例の病気が始まりましたので火曜あたりは熱海に居ます,,,"Jul 3, 2025 10:09 pm",https://x.com/kootarogo,藤瀬こうたろー,CC BY-NC-ND 4.0
この先も高嶺の花でいて。誰も摘まないで。誰にも摘まれないで。,,,"Jul 7, 2025 8:27 pm",https://x.com/carda_mm,漁火いさな,CC BY-NC-ND 4.0
