content,title,author_comment,eiso_count,editor_memo,dummy,create_datetime,author_url,author,license
"きりんって名前のわりにながい首「きーりーーんーーー」って呼んでやろうよ

呼んだのはたぶんわたしだぶんぶんとまわり続ける風のかたまり

花束を抱えあなたがやって来る暴風域の一歩手前へ

Aメロのつづきを歌いだせなくてファミマの入店チャイムでどうぞ

絶対に笑わないでね、気付いてる？この家屋根がないんだ　嘘だよ

しんしんとＮＨＫの静止画が水晶体を照らし続けて

ずぶ濡れの記憶がわたしに突き刺さる毛むくじゃらでも愛に似ていた

わたしいまあなたの顔をみれないのかなしいくらいあおいきりんが

真ん中に虚ろを抱えて風たちとわたしをみんな飲み込んでった

暗闇はあたたかいから怖くないつもりでいたの目の前に来て

もう何もきこえないから言っちゃうよ　っまえのこと　が　　だいっっ　っっきらいだッッ

ぱかんって桃の缶詰開けふいに死者の香りが立ちこめて、嫌

いちめんを覆いつくした花びらが隠そうとするあなたの不在

ばいばいの手のひらだけを水たまり映さないでよ　もう終わったよ

透明なあなたを揺らす風だけにあの日のことを話してみたら

きーりーーんーーーーあなたの名前を呼びたいよあなたのみてる世界がみたい

跳び箱を失敗した時みる空がいちばん好きだやわらかくって
",「台風がきて」,,17,,,"Aug 18, 2025 11:53 pm",https://twitter.com/kiroi_iorik,きいろい,
"オホーツクの流氷ソーダ気泡（あわ）の彼方のレッドライン弾けるはじける

涼やかなレモネードの密約で汐風に手をのばすきみと

乱反射する碧海の　ダイブするきみと捻れて放物線

風が鳴りいつかの雲を連れてくる　見知らぬきみを翠雨がふちどる

おやすみをさりゆく星に響かせてきみと荊棘の日々のまばゆさ

うすき蝶、ソライロコーラ、はりつくこおり、水色の羽青める
",流氷ソーダ,,6,,,"Sep 9, 2025 2:13 am",https://twitter.com/HaL7sg,青兎,
"揚げ物の音に重なる蝉の声温度の上がる響きに浸かる
寝そべって低め真っ直ぐとサイン出す首を振り続ける扇風機
違う声同じアダ名で振り返り祖父母とチューチューアイス思い出す
説教の比較対象大きすぎ麦茶のコップ水滴まみれ
弟の姉である姉の子姪姉妹母の知らないつながりを生きる",帰省,,5,,,"Aug 16, 2025 9:56 pm",https://twitter.com/mukadeyakata,新井宗彦,
"リアリズム　電話番号失ってこの世のものではない気がするね
影法師　大人なのにね動かない猫がどうしてそんなに怖い
明後日のねずみのしっぽが千切れそう排水溝に溺れるあいだ
夏時雨シャッター街の生き残り暖簾の先は木星めいて
未来猫毒殺事件を首謀したシュレディンガーのこころ in the box
新しいタロットを引く　万物がコラージュされた塔の逆位置
金曜のホラー映画の息継ぎに猫の胴体のばして遊ぶ
夏の陽に試されているアスファルトの崩れた道をすすんでゆけば",夏、いたるところに猫,,8,,,"Sep 8, 2025 10:02 pm",https://twitter.com/ttmx6,畳川鷺々,
"千の風吹いてご無沙汰しています骨もさびしくなるのでしょうか
ソーダ味の棒きれを立てて墓にして夏は目印ばかりを愛でる
もう咲かない鉢植えの土捨てられず弔いたければ賢くおやり
不老不死を欲しがることのあどけなさ　花々の、木々の、ひとびとの時間
こんなにも透けてしまうのは八月が死のそばを駆けるスピードのせい
橋を渡るへんな髪形にされながら　虹の上も風、強いでしょうか",夏の風速,,6,,,"Aug 31, 2025 10:17 am",https://twitter.com/aonosaku31,青野 朔,
"夏が来た！照らす太陽さんさんと 花火、向日葵、海、そして蝉
夏が来た…照らす太陽じんじんと 湿気、紫外線、汗、そして蝉
精一杯命を燃やす七日間 せめて｢うるさい｣などとは言わない
｢うるさいなぁ。｣午前六時の大合唱 はやく燃え尽きてしまえ命
木の枝にあるかもしれない抜け殻が 帰りはちょっと寄り道しよう
道端にあってはならない亡骸が 帰りはほかの道を通ろう
スレチガイ・サマー with 蝉 みんみんと鳴く声君はどこで聞いてる？",スレチガイ・サマー with 蝉,"詞書
｢この人、ちょっと合わないなぁ｣と思い、すれちがった、蝉がやけに気になったふたりの夏のはなし。

コメント
夏が好きな僕と夏が嫌いな私を詠んだストーリー性のある連作です。ストーリー性を持たせすぎると一つ一つの短歌がパーツでしか無くなるため好まれない場合も多いと思いますが、私が経験した｢スレチガイ・サマー｣を表現したく、このような形になりました。",7,,,"Aug 29, 2025 12:10 am",https://twitter.com/Aiyu_I_You,愛結,
"太陽に蒸されたかぼちゃ売られおりハロウィンまでに煮付けられたり

当日はすでに過去だと半額の値札ひらひら季節の品は

無花果の季節だねって言う人の内側に咲く花たおやかで

ゼッケンを外し干されたユニフォーム結果も洗い流されたあと

石灰は風に吹かれて薄れゆく白線だったグラウンドの空

匂いからはじまる雨と匂いだけ残す花火の余韻パラパラ

もしここが周回遅れだとしても巡回バスは夕陽をのせる

切りとった爪バラバラと三日月を量産してく私の残渣",現在地、過去,,8,,,"Sep 2, 2025 9:34 pm",https://twitter.com/hakka_kinoko,ベーグル,
"夏休みが終わってしまうピカゴロと八月十日の霹靂近し

宿題が入道雲のごと積もる夕焼けと八月十一日

精霊馬の足を増やして大目玉八月十三日はにわか雨

箱の中のひいお婆ちゃんになむなむと不思議な八月十五日の夜

宿題はもう終わったの？ママの声八月十七日は炎天

かき氷食べるがごとくもくもくと宿題こなす八月二十日

鹿追ってる場合じゃないよお爺ちゃん八月二十四日の早朝

死にかけの蝉に鳴かれて逃げ出した真昼の八月二十九日

夏休みの終わりを看取った八月の晦日の零時の毒蛾のはばたき

夏休みは終わらなかったここはどこ？八月三十二日というバグ",夏休みが終わってしまう,,10,,,"Aug 28, 2025 7:54 pm",https://twitter.com/rara_wcat_tanka,アサコル,
"この世から綺麗なものが消え去ってとても卑屈な兄弟ふたり

透けてゆくアイデンティティの輪郭をなぞる　恐らくこれは涙だ

傾聴と夏の終わりに口紅を拭う時みな死者の顔して

泣くことも出来なくなった大人からとても冷たい悲歌が聴こえる

ビル一つ倒して海に流そうよ、最上階で謝る君へ",Lightfall,,5,,,"Aug 29, 2025 4:22 pm",https://twitter.com/azplanetaz,tanaka azusa,
"鍵盤をこぼれる小指いつだってピアノは清く残酷な靴
シューマンを弾けば指から少しずつシューマンもどきになりゆく心地
ソツのない演奏ばかり上手くなり透明すぎる水が冷たい
運命を背負った音を鳴らすとき白い指には重すぎる黒
月のない空をなぞればざらざらと夜道に響き出すクープラン
泣きながら触れる黒鍵からっぽの背骨は誰の責任ですか
風のない塩湖の果てで巡り会う誰かの顔をしたわたしたち
伸びた爪に気付かなくなるそのときにわたしは変わってしまうのだろう
調律の狂ったCに目を閉じてあなたはあなたを信じてもいい",黒鍵,,9,,,"Sep 8, 2025 9:01 am",https://twitter.com/zukki04651,星谷麦,
