content,title,author_comment,eiso_count,editor_memo,dummy,create_datetime,author_url,author,license
"猛暑日が続き世界は混沌でこんな時には踊らにゃ損損
アゲまくれもっとテンション汗だくで溢れるフロウにメンタルも浮上
打ち鳴らす太鼓のビート太古から続くバイブス今ぶちアガる
炭坑に月が出た出た単調な毎日なんて燃やしてしまえ
ピーヒャララ祭囃子を聞いたから誰もが乱舞この盆ダンス
踊れれば国も男女も関係ねえ魂バーストする奴ファースト
おれたちは踊るアホウだそれだけが怒りを力に変える魔法だ",オボンのダンス,,7,,,"Aug 4, 2025 2:00 am",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
"打ち明けて散りて砕けしこと幾度されど諦め難しこの胸
一度だけ女性に花を贈りしが長くてつらき片恋となり
盗まれるほどの宝はありません いかがでしょうか僕の心は
「寅さん」が昭和のオヤジに受けたのは結論出さずに逃げているから
「実体」を伴うことなき「恋」だから ただいたずらに精を放ちて",終わらないアオハル,アラカンになっても恋愛が成就した試しがありません。その意味ではまだ「アオハル」なのかも。,5,,,"Jul 30, 2025 5:04 pm",https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
"操車塔　進み始めたこの道を明るいほうへ切り替えてゆく
賑わった面影残す十字街　過去があってのわたしなのです
それぞれの方法で行く目的地　路面電車は結構ゆれる
泳いでも泳いでも水槽のイカ目印になる漁火がない
でこぼこの路は長めの冬のせい？セミは知らずに盛夏を謳う
《スター》っていう憧れのフィルターをかけて眺めている五稜郭
この比喩に早く気づいてもらうため八幡坂から俯瞰してみて
迷ってるラッキーピエロのメニュー表　固定観念捨てる勇気を
豚だって焼けば「とり」だよ、気にせずに。ハセガワストアに寄り道をする
一首ずつ光を放つ連作を　函館山の夜景のように
575…フランス積みの赤レンガみたいに時を超えてみたいな
夕波にポリシーをぎゅっとし直してクルーズ船は港に戻る",歌詠みのバラッド-函館の夏-,,12,,,"Aug 3, 2025 3:03 pm",https://x.com/l0vemash,真朱,CC BY-NC-ND 4.0
"甘い赤いりんごになりたい人生でいちじくはもうりんごになれない
くちびるを求めていたわけではなくてネクタリンを律儀に切る指
生殖を伴わなければいけないの？バナナはひとりで生きてゆけます
プルーンの種ほど身から剥がれやすいそんな思いで終わらせたかった
あたしたちけんかをすればひと房のぶどうのままでいられたのかも
サイダーの泡でベリーが上下する浮きも沈みもせずに生きたい
生食に向かない私の体では全ての愛は瓶詰めになる
桃栗柿すべての果実は実らずに私はただの或る木でいたい",無番地青果店,,8,,,"Aug 3, 2025 4:18 pm",https://x.com/leslie_bekkie,別木れすり,CC BY-NC-ND 4.0
"廊下から発射台まで駆けおりて恋をLesson 2からはじめる
風に立ちむかう体育の先生の帽子をおさえる右手がきれい
しどけない会話していたシーツかと見紛うようなカーテンのなか
ゆれひびくチャイム　隣りのあなたとの海溝9000メートルに消しゴム落とす
うれしさはつくれる　夏の自転車の籠にケーキは崩れつづけて
少女群いつしか少女軍となり体育あとの教室を征す
絶滅が危惧されているグラウンドに描かれた悟空　雨がまもなく
忘れられた芸能人がiPhoneの変換候補だけに眠っている
夏の空　きみの粘土の怪獣の瞳のなかのシーグラス　あお
前月のカレンダーの裏に喜んで絵を描いていた過去の螺旋か
母校より知らない曲のがびがびと念話のように流れてきたり",スクールデイズノスタルジイ,,11,,,"Aug 4, 2025 11:33 pm",https://x.com/ttmx6,畳川鷺々,CC BY-NC-ND 4.0
"丸くないよそゆき文字で丁寧にさらっと触れたご報告文
結婚の報告までも完璧で 推しが溢れて夏が眩しい
一面を飾る見慣れた写真には見慣れぬ二文字 夢じゃなかった
人が言うほどショックでも無く人が思うほど大丈夫では無い
伝わるか伝わらないかわからないSNSに流す「おめでとう」",推しの結婚,長年推してた方が結婚した時の何とも表現できない気持ち。自分も既婚者であり推しとどうのこうのなるとは全く思わないけど、受けた衝撃と言い表せぬ寂しさ、それでも祝福したい気持ちを歌に込めました。,5,,,"Aug 4, 2025 11:08 pm",https://x.com/tyrannos818181,さに。,CC BY-NC-ND 4.0
"朝顔のあおがあんまり眩しくてぼくはなんにも言えなくなった

学校のプールのにおいを嗅ぎにいく自転車を漕ぐ、漕ぐ、ぬるい風

いつどんな時も笑顔を忘れずに等間隔で安全ガール

シーグラスにはたぶんなれない　コンクリにビールの瓶の欠片がとがる

欄干に身をのりだせば水中にぬらりとひかる太古の魚群

枕木のひとつひとつは苔むして墓標のように自販機が立つ

ぼくだって叫びたくなることもある　わっ、と叫べば　わっ、と山びこ

蟬しぐれ校舎の壁にはねかえり痛いほど（しずか）のびる影

降ってくるほどの星そのなかに見えない星がひとつだけある

プールには水はなかった　ぼくはただ自転車を漕ぐ、そしたら、いつか、",I'm lost,,10,,,"Aug 4, 2025 11:58 pm",https://x.com/moonnight_rain,月夜の雨,CC BY-NC-ND 4.0
"あの子二十歳 隣に僕がいたのになあちょっとの別れ にこにこ「さらば」
あいつの血 永遠の別れが言えぬあほ小さくない死に涙したい
「あー、君たち、尊い命を」「いらないよ」「……ちょっと悪い子、肉体を貸せ」",あといちにち,それぞれ、「あといちにちがあれば」「あといちにちがほしい」「あといちにちをよこせ」という沓冠折句を仕込んだ短歌となっています。,3,,,"Jul 29, 2025 9:30 pm",https://x.com/tonomozukasa,とのもづかさ,CC BY-NC-ND 4.0
"勝算もなくあの高めクソボール振るのがあなたのあかんとこやで
今年こそレギュラー狙う黃バットの彼はまんなか速球とらえ
前任によく似た背番号１はやはり夏場に調子を上げて
去年見た投資の広告姿消し日本はやはり観光先で
勝ち投手権利目前苦しんだ彼が投じたフォークボールよ
本当は明るいウチの教練はこのあいだから下向いていて
毎年は勝てぬものよとあきらめる当てにしないでつぎを待つ日々
乱調の投手支える正捕手に神は今夜も試練を与え
ファーストもセカンドもない世の中にショートの守備の名人ありき
今まさに追われるものの苦しみを味わっている前年王者

",Game206,7月15日、台湾プロ野球第206試合、中信兄弟ー楽天桃猿戦をライブ配信で観ながら35首短歌を詠みました。あらかじめ13首選んでAIに流し、そこから10首を選んでもらい、上記の順番に並べてもらいました。教練→台湾の野球用語で、コーチのこと。,10,,,"Jul 17, 2025 9:25 am",https://x.com/you_chun25438,とんだ一杯食わせ者,CC BY-NC-ND 4.0
"段差さえ手こずる君を見て思うああこういうことなんだなきっと
ゆっくりと呼吸するたび上下する背中をずっと見つめていた
立てぬなら伏せたままでいい水を飲むおまえの喉が小さく動く
少しずつひかりの量を減らしてく神様のするやさしい手つき
撫でる手に骨張る背中あたたかい　さよならはまだ言えないままで
十五年　月日の重さ抱きあげる軽い身体になったねきみは",風になる。,長年連れ添った愛犬が旅立った。,6,,,"Aug 2, 2025 4:11 pm",https://x.com/peak_0623,ホワイトアスパラ,CC BY-NC-ND 4.0
