content,title,author_comment,eiso_count,editor_memo,dummy,create_datetime,author_url,author,license
"平熱のようなアナタの言葉から微かに香る深い寂しさ

返り血のように言葉を浴びながら自分の中の醜さを知る

本当に頑張ってれば運命をねじ曲げることだってできるさ",言葉は武器か、それとも...,,3,,,"Oct 5, 2025 11:46 pm",https://x.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
"よく食べることは褒めたいTシャツのカレーうどんの染み眺めつつ

もう一度生まれるように襟元をくぐればサイズアウトの予感

吾子の手を二度と通さぬ袖ふたつ静かに畳む秋雨の夜",サイズアウト,,3,,,"Oct 5, 2025 3:21 am",https://x.com/d23705,北野白熊,CC BY-NC-ND 4.0
"口づけてオーロラピンクを分け合ひぬ色とりどりの秋桜《コスモス》揺れて
格好良いひとになるには／逆風に負けずわたしを貫くための
制服のリボンをネクタイに変へて羽化の片鱗わづかに見せをり",アリザリン,,3,,,"Oct 3, 2025 3:26 pm",https://x.com/hane_ao22,碧乃そら,CC BY-NC-ND 4.0
"ロジックが見えませんねと言われても｢ロジック？何？｣とは訊けない私

横文字があふれ出でたる世の中で可愛いアホにもなれない私

愛される者になるならしょうもないプライド捨てろと言うYouTuber",プライド,,3,,,"Sep 30, 2025 6:07 pm",https://x.com/sorapoky,山口絢子,CC BY-NC-ND 4.0
"新月は闇夜じゃないと言い聞かせ私は明日独り闘う
帰り道上弦の月見上げてるあと半分はどこにいるのか
目玉焼き今日も満月と呼べなくて少し歪んで十六夜となる",月夜,,3,,,"Oct 6, 2025 11:59 pm",https://x.com/RAGE0406,紅生姜天ひやむぎっ,CC BY-NC-ND 4.0
"嫌われてしまわぬように飲み込めば体の中に氷の粒が


似てそうで実は違うと思うんだ星に名前がついてるように


雨雲が心の中で渦を巻く降らせることも許されないで",雨雲,,3,,,"Oct 4, 2025 11:23 pm",https://x.com/daigakuimo3717,山野たみ,CC BY-NC-ND 4.0
"燃やされて棄てられ少女の白灰（はくはい）は溺れるように沈んだだろう

魂（たましい）はセーヌをつたい海に出（い）でノルマンディーの鈍色の空

祈ってる素振りで大人はベロをだす「五百年後は聖女だからね」
",異端者の少女,,3,,,"Oct 7, 2025 2:19 am",https://x.com/OnakaSuiTanka,小仲翠太,CC BY-NC-ND 4.0
"大丈夫死んでいるから　あの人はもう二度と君を傷つけない
死んでいる美しい翅の蝶々をガラスケースに並べるように
死んでいる死んだからこそ死んでなおあの嘘が君を苦しめている",死んでいる,,3,,,"Oct 1, 2025 10:32 pm",https://x.com/tanankatoru,田仲トオル,CC BY-NC-ND 4.0
"オレンジのバブを落としたバスタブにクリームソーダみたいね月が

たまごから生まれてしまってその後はもう戻れない歯みがきの泡

寝たあとにパパとママとに挟まれておさかなになるときがいちばん
",寝たあとに,,3,,,"Oct 5, 2025 6:02 am",https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
"朝　屋根に庭木に赤い目の番寄り添うポーッポーッポッポー　
硝子戸を打って牽制する母はできてしまえばハトちゃんと呼び
母、次は風、野良猫が庭に来てうろつくたびに威嚇している",鳩に絆され,,3,,,"Oct 3, 2025 10:02 pm",https://x.com/tenran_harugiri,せんぱい,CC BY-NC-ND 4.0
