content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
折ってまでクレヨンくれてありがとう右端の空わたしが塗るよ,このひと月はよく空を見ました,,,"Oct 6, 2025 7:39 pm",https://x.com/gu_gu_gurira,稲野,CC BY-NC-ND 4.0
窓越しに消える夕暮れ　残るきみ　タイムカードを丁寧に押す,,,,"Oct 6, 2025 9:16 pm",https://x.com/finalkanidoumei,土佐ｱｳﾞｧﾝﾁｭｰﾙぱす汰,CC BY-NC-ND 4.0
帰り道ふたりで歌った暮れ方のどこまでも行けそうな夕虹,,,,"Oct 6, 2025 3:13 pm",https://x.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
指相撲　鰯雲掻き回したり　吸いダコもやがて空に泳ぎて,,,,"Oct 2, 2025 6:57 pm",https://x.com/yoshiharumichi,吉晴　路,CC BY-NC-ND 4.0
空色のクレヨンばかりが減っている幼稚園の頃のおさがり,捨てるのはもったいなくて自分用にと開けてみたら、水色や青色がいっぱいに減っている。小学生の彼女はもういろんな画材を使うし、空も青空ばかりは描かない。世界の広がりをそっと感じて箱を閉じました。,,,"Oct 1, 2025 2:59 am",https://x.com/@aca_tabby,眠る金魚,CC BY-NC-ND 4.0
銀笛をねだって泣いた　孤独なる僕の手染めゆく　真っ黒な海,,,,"Oct 6, 2025 1:28 am",https://x.com/yoshiharumichi,吉晴　路,CC BY-NC-ND 4.0
うろこ雲　あれは人魚が大罪を犯して刑に処せられた跡,,,,"Sep 26, 2025 8:44 pm",https://x.com/hisakatanote,久方リンネ,CC BY-NC-ND 4.0
今どきの絶対王政　青すぎる空にクリオネすべてを食らう,,,,"Oct 6, 2025 11:10 pm",https://x.com/ttmx6,畳川鷺々,CC BY-NC-ND 4.0
前をゆく二人が空を見上げれば後ろがつられる入学初日,,,,"Oct 4, 2025 8:01 pm",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
夜空には祈りのような、祈りではないような、鼻唄が漂う,,,,"Sep 25, 2025 5:34 pm",https://x.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
ふたしかなゼブラゾーンをまたいで歩くさみしさに似た星の欠片は,,,,"Oct 6, 2025 10:39 pm",https://x.com/zeronokamides,ゼロの紙,CC BY-NC-ND 4.0
晴れだとは教えてくれた携帯も空の青さは知らないみたい,,,,"Sep 25, 2025 11:41 pm",https://x.com/hechimamo,ヘチモディスコ,CC BY-NC-ND 4.0
一日の答え合わせをするまえに赤いセロファン紙で覆う空,,,,"Oct 2, 2025 11:55 pm",https://x.com/aurora_konono,小野小乃々,CC BY-NC-ND 4.0
空耳のようなやさしさ拾っては今日もひとりで笑ってしまう,,,,"Oct 5, 2025 6:41 pm",https://x.com/peak_0623,ホワイトアスパラ,CC BY-NC-ND 4.0
ちっぽけなことを反芻するよりも大きな空のうたをうたおう,,,,"Oct 5, 2025 7:02 am",https://x.com/blue_navy_color,青色紺色,CC BY-NC-ND 4.0
夜空の夜の部分も空の部分もどちらもそばにいてくれた夜でした,,,,"Oct 6, 2025 10:33 pm",https://x.com/zeronokamides,ゼロの紙,CC BY-NC-ND 4.0
「肌色」が差別となった夕暮れに空色クレヨン画用紙で舞う,,,,"Sep 19, 2025 1:02 am",https://x.com/jutanbakugeki,安永べん,CC BY-NC-ND 4.0
大人なんてきっとないんだ　こんなにも子供みたいな天気　今、虹,,,,"Oct 3, 2025 5:03 pm",https://x.com/murasameshinco,ムラサメシンコ,CC BY-NC-ND 4.0
雨の日の空に心を映したら閉じこもってもいいと聞こえた,,,,"Sep 30, 2025 5:50 pm",https://x.com/daigakuimo3717,山野たみ,CC BY-NC-ND 4.0
はだいろと同じ理由でそらいろがだいだいだっていいと思った,,,,"Oct 1, 2025 8:42 pm",https://x.com/tanimanon258x,谷まのん,CC BY-NC-ND 4.0
雲一つない空映すグラウンド僕らの青い春を包むよ,トンボで雲をならされたような青空は、同じくトンボで土をならされたグラウンドのよう。青春は、この中に。そう感じた記憶を思い出し、詠みました。,,,"Oct 6, 2025 10:03 pm",https://x.com/yui_oribe,織部ゆい,CC BY-NC-ND 4.0
もう誰の欠片も空に探さない　強くなるとは寒くなること,,,,"Oct 5, 2025 7:30 pm",https://x.com/Linon_non,りのん,CC BY-NC-ND 4.0
失っていくものばかりじゃないからと教えてくれた人が逝く空,,,,"Oct 3, 2025 6:11 pm",https://x.com/rebelxduck,木ノ宮むじな,CC BY-NC-ND 4.0
赤とんぼ秋の蒼空に飛ぶならば小さき虫を脇に追いやり,,,,"Oct 6, 2025 9:20 pm",https://x.com/finalkanidoumei,土佐ｱｳﾞｧﾝﾁｭｰﾙぱす汰,CC BY-NC-ND 4.0
原色は目に悪いからと混ぜたグレー 濁るどころか透きとおる空,,,,"Oct 6, 2025 4:29 pm",https://x.com/Aiyu_Myoi,明井愛結,CC BY-NC-ND 4.0
「リンダリンダ リンダリンダリンダ」ソラはなくとも青はつむげる,,,,"Sep 28, 2025 5:24 pm",https://x.com/suu_0421,すぅ,CC BY-NC-ND 4.0
放たれた想いは互い喰い合ってコンクリいろの空に固まる,,,,"Oct 6, 2025 6:29 am",https://x.com/plympull,ぷりんぷる,CC BY-NC-ND 4.0
覆われた夜空は静か　曖昧に口角なんて上げなくていい,,,,"Oct 2, 2025 1:11 am",https://x.com/18necco18,宮緖かよ,CC BY-NC-ND 4.0
青空からポンデリングが降ってくる　ポンデリングで息が苦しい,,,,"Sep 25, 2025 5:34 pm",https://x.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
今空は何色ですか？起きてます？寝落ちしたかな？朝は光色,,,,"Sep 30, 2025 1:12 am",https://x.com/txT121omOV33333,美波有希,CC BY-NC-ND 4.0
薄暮の空を覆った椋鳥のすべてにヴェロキラプトルの爪,,,,"Sep 30, 2025 5:25 am",https://x.com/sonatine_yuki,村川愉季,CC BY-NC-ND 4.0
夕立よ来るなら今と呼びかけたカバンには傘隣には君,,,,"Oct 6, 2025 11:18 pm",https://x.com/RAGE0406,紅生姜天ひやむぎっ,CC BY-NC-ND 4.0
墨をする空っぽだから静寂は円相を描く寺の床間,,,,"Sep 30, 2025 8:18 am",https://x.com/MeFuchsia,綿鍋和智子,CC BY-NC-ND 4.0
ふいに名を呼ばれたように振り向けば空は秋の水彩だった,,,,"Oct 6, 2025 3:45 pm",https://x.com/mizunonemuri1,水の眠り,CC BY-NC-ND 4.0
宇宙とかいう名のキーは横長で他の誰よりスペースをとる,,,,"Oct 5, 2025 12:14 pm",,yohei,CC BY-NC-ND 4.0
下ばかりみていたぼくの目に映る空を映している水たまり,,,,"Oct 4, 2025 2:32 pm",https://x.com/moonnight_rain,月夜の雨,CC BY-NC-ND 4.0
空庭温泉には二羽の鶏がいてゆで卵を作ってる,,,,"Oct 2, 2025 9:02 am",https://x.com/3404_g_,稲井亮太,CC BY-NC-ND 4.0
綺麗事だけじゃ空かない風穴があってデュクシを繰り出し合った,,,,"Oct 7, 2025 2:18 am",https://x.com/inan_erotica,インアン,CC BY-NC-ND 4.0
夕暮れで青/オレンジへ別れてる、わたしと彼は蒼空なの,空が夕焼けと夜空に別れてくのを見て、だけどわたしと彼はずっと同じ色、同じ気持ちで未来も一緒に過ごすんだって歌,,,"Sep 24, 2025 10:13 pm",https://x.com/https://x.com/sta6251,すた6251,CC BY-NC-ND 4.0
昨日まで空白だった日記には今日から君のことばかり書く,,,,"Sep 29, 2025 5:35 am",https://x.com/l_coc_l,谷地田万鶴,CC BY-NC-ND 4.0
コンビニのアイスコーヒーカップから見上げれば空 手の中に空,,,,"Oct 6, 2025 11:05 pm",https://x.com/okanocoelacanth,みぎひと,CC BY-NC-ND 4.0
キッチンに殺虫剤も躊躇われAir superiorityハエの大隊,厨にて。,,,"Oct 6, 2025 12:10 am",https://x.com/misosarasenryu,鯖虎,CC BY-NC-ND 4.0
高すぎる空を見上げて立ち止まる金木犀の嘆く方向,,,,"Oct 7, 2025 12:07 am",https://x.com/m_iya_o,水也,CC BY-NC-ND 4.0
あさやけの　ひかりにうかぶ　いわしぐもきぬぎぬわびし　あかねそらかな,明け方のほの暗い空が緋色に染まるそんな景色の中でのひととき,,,"Oct 6, 2025 11:59 pm",https://x.com/Oda_kimyo,奇妙丸,CC BY-NC-ND 4.0
青空へ続く参道　救いとは努力の果てと教えるように,,,,"Oct 5, 2025 7:29 pm",https://x.com/Linon_non,りのん,CC BY-NC-ND 4.0
ハッキングされ向けられた右上で監視カメラは空と出会った,監視カメラは意外と空を知らない気がします。,,,"Oct 6, 2025 7:41 pm",https://x.com/gu_gu_gurira,稲野,CC BY-NC-ND 4.0
青々と広がる空は縮こまる昨日の私を知らないだろう,,,,"Sep 25, 2025 11:39 pm",https://x.com/hechimamo,ヘチモディスコ,CC BY-NC-ND 4.0
曇りには曇りの良さがあるという雲にわたしもなれるだろうか,,,,"Oct 1, 2025 4:07 am",https://x.com/@Tamonokidesu,戸倉田面木,CC BY-NC-ND 4.0
買い物に出かけた街じゃ売ってないものがほしいや 空に三日月,,,,"Oct 3, 2025 8:47 pm",https://x.com/suimitudou16,睡密堂,CC BY-NC-ND 4.0
夕マズメ海釣り公園兄叫ぶ大物でなく地球を釣りて,子供のころ、海釣り公園で起きた出来事です。マズメとは日の出前後（朝マズメ）と日の入り前後（夕マズメ）の薄明るい時間帯を指す釣り用語です。夕方で日の沈みそうな時間に兄の釣り糸が岩に引っかかったところを思い出して詠みました（その前まではバンバンと三匹同時に釣ったりしていた兄でした）。,,,"Oct 3, 2025 4:34 pm",https://x.com/fromshino,篠崎蓮,CC BY-NC-ND 4.0
明け方のカーテン越しに光漏れ空の青さを恨む日曜,,,,"Oct 6, 2025 11:36 pm",https://x.com/RAGE0406,紅生姜天ひやむぎっ,CC BY-NC-ND 4.0
ブランコの空へ近づく瞬間はブラックホールとも近づいて,,,,"Sep 30, 2025 9:30 pm",https://x.com/_05_maryo,井山カナ,CC BY-NC-ND 4.0
空白で雲の部分を切り抜いた天幕からあめあられの流星雨,,,,"Oct 6, 2025 11:14 pm",https://x.com/iFb77WoIcv87418,青海波,CC BY-NC-ND 4.0
空欄は飛ばしなさいと教わって今夜も眠る 愛を思って,,,,"Sep 29, 2025 5:48 am",https://x.com/l_coc_l,谷地田万鶴,CC BY-NC-ND 4.0
ネモフィラが丘のうえから溶けだして染まった空にひとつだけ雲,,,,"Sep 30, 2025 5:25 am",https://x.com/sonatine_yuki,村川愉季,CC BY-NC-ND 4.0
朝焼けを巻き取るように惑星はグラデーションの日々を手渡す,,,,"Oct 7, 2025 2:19 am",https://x.com/inan_erotica,インアン,CC BY-NC-ND 4.0
蒼空が見送る夏の終わりにはアシダカグモも越冬準備を,,,,"Sep 26, 2025 5:57 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
足元をいつも気にして歩いている目の前に青い空があるのに,いつからかうつむいて歩く癖がついてしまった。でも空が青いからといって、いつも楽しいわけじゃない。,,,"Oct 4, 2025 6:01 pm",https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
赤道の空に根を張るバオバブは星を支えているシルエット,,,,"Oct 7, 2025 2:19 am",https://x.com/inan_erotica,インアン,CC BY-NC-ND 4.0
まだ泣かない泣きたくないと思うとき街路樹越しの空は陶片,,,,"Oct 5, 2025 7:30 pm",https://x.com/Linon_non,りのん,CC BY-NC-ND 4.0
中空にあおいろの水　諦念はあらゆる帰路を白くひからせ,,,,"Oct 6, 2025 11:10 pm",https://x.com/ttmx6,畳川鷺々,CC BY-NC-ND 4.0
一瞬の間地面が空となるさようならさようならさような,,,,"Oct 6, 2025 1:00 am",https://x.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
空席の花は静かに咲いていて君のようだと今更思う,,,,"Oct 5, 2025 6:56 pm",https://x.com/l_coc_l,谷地田万鶴,CC BY-NC-ND 4.0
転んだら痛いんだっていうことを忘れてきみは空をみている,,,,"Sep 28, 2025 6:46 pm",https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
渡り鳥　帰る背中を見送って純粋なままどこまでいける？,,,,"Oct 1, 2025 8:30 am",https://x.com/MishinOga,大賀ミシン,CC BY-NC-ND 4.0
空泳ぐ踏み切ってから遠くへと息継ぎもせずより遠くへと,,,,"Sep 17, 2025 8:40 am",,kozen-ta,CC BY-NC-ND 4.0
しろながすくじらにうろこはあったかと思ってしまう秋のゆうぐれ,,,,"Sep 20, 2025 6:12 am",https://x.com/tatsuyananasino,七篠龍也,CC BY-NC-ND 4.0
空想は空想のままで偽物の翼で飛んだシマウマの末路,,,,"Oct 4, 2025 3:05 am",https://x.com/rara_wcat_tanka,アサコル,CC BY-NC-ND 4.0
空耳であってほしいよ平和主義なのに機雷といわれるなんて,,,,"Sep 27, 2025 1:56 pm",https://x.com/takekeke00,スーパーはるる,CC BY-NC-ND 4.0
旅気分満喫セット食べ比べ家にいながら空弁にする,,,,"Oct 1, 2025 8:47 pm",https://x.com/tanimanon258x,谷まのん,CC BY-NC-ND 4.0
虹の根を見つけにゆくぞ空を飛び月が迎えにくる前にゆく,,,,"Oct 7, 2025 12:07 am",https://x.com/m_iya_o,水也,CC BY-NC-ND 4.0
まっくらな空の向こうに星があるひとり漕ぎだす嵐の夜も,,,,"Oct 4, 2025 2:31 pm",https://x.com/moonnight_rain,月夜の雨,CC BY-NC-ND 4.0
青空も星が見えない日も全部そばにいたのは愛だったんだ,,,,"Oct 3, 2025 12:06 am",https://x.com/kiriyamatouta31,桐谷やまと,CC BY-NC-ND 4.0
両の手に湛えた水に空掬い太陽さえも吾子は飲み干す,,,,"Sep 30, 2025 7:16 pm",https://x.com/morning__calm,朝凪たまご,CC BY-NC-ND 4.0
健やかな秋の空見て泣くひとは冬の夜空を待ち侘びている,秋の空は明け透けであるがゆえの心細さがあります。きりっと冴えた冬の夜に閉じ込められた安心するひともいると思います。,,,"Sep 28, 2025 7:07 pm",https://x.com/nakamura_uonami,中村うおなみ,CC BY-NC-ND 4.0
やさしいはクソの役にも立たなくていいから早く撃てと青空,,,,"Oct 4, 2025 11:53 pm",https://x.com/rebelxduck,木ノ宮むじな,CC BY-NC-ND 4.0
宇宙って存在するの？この空の下に生まれたものだけがLOVE,,,,"Oct 1, 2025 4:56 pm",https://x.com/l0vemash,真朱,CC BY-NC-ND 4.0
書き終えた手紙の余白は空だ。月描けばポストの中まで夜だ。,,,,"Sep 26, 2025 5:51 pm",https://x.com/_05_maryo,井山カナ,CC BY-NC-ND 4.0
冒険に出たいと言ってひとかけの空は揚羽の背中に乗った,,,,"Sep 26, 2025 8:44 pm",https://x.com/hisakatanote,久方リンネ,CC BY-NC-ND 4.0
ブラックの珈琲を夜空と名づけた人がいて星なき夜を美しいと想う,,,,"Oct 6, 2025 10:28 pm",https://x.com/zeronokamides,ゼロの紙,CC BY-NC-ND 4.0
気が付けば手は届かなくなっていて九月の空のようだった君は,,,,"Oct 6, 2025 8:39 am",https://x.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
青空に浮かんだ月が真実をわかってくれているからいいの,,,,"Oct 3, 2025 12:59 am",https://x.com/blue_navy_color,青色紺色,CC BY-NC-ND 4.0
ベタベタの雲を吸い込む太陽を眺める空はここにもある,,,,"Oct 1, 2025 6:42 am",https://x.com/@hijyouguchi_dot,非常口ドット,CC BY-NC-ND 4.0
一枚の別れの手紙より生まれ紙飛行機は空へ飛び立つ,,,,"Oct 6, 2025 11:05 am",https://x.com/kijousan,宇井モナミ,CC BY-NC-ND 4.0
両親の空間把握能力が壊滅的で実家の隙間,,,,"Oct 2, 2025 9:04 am",https://x.com/3404_g_,稲井亮太,CC BY-NC-ND 4.0
ぜったいに叶えるんだと握りしめ仰いだ空の色はあざやか,,,,"Oct 7, 2025 12:07 am",https://x.com/m_iya_o,水也,CC BY-NC-ND 4.0
昼寝から目が覚め窓に目をやればまんまるひかる月と目が合う,,,,"Oct 6, 2025 11:28 pm",https://x.com/atashiwanatsume,東雲　夏芽,CC BY-NC-ND 4.0
夕焼けが星空に変わる瞬間　境界線はいつも曖昧,,,,"Sep 26, 2025 11:32 pm",https://x.com/_hazamei5,はざくらめい,CC BY-NC-ND 4.0
帰り道コインパーキングの『空』は光ってるのになんかさみしい,,,,"Oct 5, 2025 12:01 am",https://x.com/sinachiku_no_yo,萎竹,CC BY-NC-ND 4.0
足うらを絵本のように開くとき名付けの前の空の私だ,,,,"Oct 4, 2025 8:02 pm",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
電源を入れた直後に空高く飛んだドローンが戻ってこない,,,,"Sep 29, 2025 9:54 pm",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
どこからが空と呼ばれる青ですか僕たちはまだ透明ですか,,,,"Oct 2, 2025 8:57 pm",https://x.com/rebelxduck,木ノ宮むじな,CC BY-NC-ND 4.0
君のことすっかり忘れて生きてますそんな顔した澄んだ秋空,,,,"Oct 1, 2025 3:35 pm",https://x.com/cotori_rin,琴里梨央,CC BY-NC-ND 4.0
ねこあなたねこねこあなたクラウドにのせて浮かべるわたしの空へ,,,,"Oct 1, 2025 6:13 pm",https://x.com/18necco18,宮緖かよ,CC BY-NC-ND 4.0
夜を追う朝焼けの空仰げればすずめのように飛べる気がした,,,,"Sep 27, 2025 2:16 pm",https://x.com/Amamiyaamaki,雨宮雨霧,CC BY-NC-ND 4.0
空見上げ愉快な雲を探しゆき好きなカタチにちぎって喰らふ,,,,"Sep 20, 2025 4:08 pm",,悲しみ,CC BY-NC-ND 4.0
湖の氷は薄い青空に体重預けて僕らはねむる,,,,"Oct 1, 2025 6:38 am",https://x.com/@hijyouguchi_dot,非常口ドット,CC BY-NC-ND 4.0
「随分と短くなったねえ」とああ日のことかうんみじかくなった,,,,"Sep 20, 2025 6:11 am",https://x.com/tatsuyananasino,七篠龍也,CC BY-NC-ND 4.0
それぞれに空はあるから青空を赤いとおもえば赤い青空,,,,"Oct 1, 2025 4:13 am",https://x.com/@Tamonokidesu,戸倉田面木,CC BY-NC-ND 4.0
ブランコの立ち乗りで空の近くまで行って世界を征服してた,幼い頃は、自力でいちばん空の近くにいてるのは、ブランコの立ち乗りだったような気がします。振り落とされるくらい上まで行って、これ以上すごいことは世界にはない、という気持ちになっていました。,,,"Sep 26, 2025 11:38 am",https://x.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
青というよりは蒼空　君はまたそうやって少しグレーを混ぜる,,,,"Sep 27, 2025 6:44 pm",https://x.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
乳飲み子の空を掻く指言の葉の茂る手前の枝の切る風,赤子を見て。,,,"Oct 6, 2025 12:13 am",https://x.com/misosarasenryu,鯖虎,CC BY-NC-ND 4.0
白いシャツ風に膨らみ空映えて秋風颯爽雲も流れる,,,,"Oct 2, 2025 11:07 am",https://x.com/mizuochi_tanka,水落 瑛,CC BY-NC-ND 4.0
秋空は秋空ですとはいわないで風が伝える尊敬できる,,,,"Oct 1, 2025 4:09 am",https://x.com/@Tamonokidesu,戸倉田面木,CC BY-NC-ND 4.0
天空に近い庭園寝転べば10億のビルの大王になる,,,,"Oct 6, 2025 3:51 pm",https://x.com/mizunonemuri1,水の眠り,CC BY-NC-ND 4.0
帰り道、会話が途切れる僕と　さあ　明日の天気の話をしましょう,,,,"Oct 1, 2025 10:07 pm",https://x.com/kikura_ge,キクラゲ,CC BY-NC-ND 4.0
重力に囚われている僕たちの頭上を翔ける冒険彗星,,,,"Oct 1, 2025 8:27 am",https://x.com/MishinOga,大賀ミシン,CC BY-NC-ND 4.0
雨の日の午睡しずかな君の息 空調ゆるめて聞いている ただ,,,,"Oct 6, 2025 3:46 pm",https://x.com/mizunonemuri1,水の眠り,CC BY-NC-ND 4.0
ペンギンが空を飛ぶ日に待ち合わせ自転車置き場に降るイワシたち,,,,"Oct 1, 2025 3:28 pm",https://x.com/cotori_rin,琴里梨央,CC BY-NC-ND 4.0
手放した風船が雲を突き抜けて穴からのぞく円形の青,限定的に見える青空って魅力的だと思います。,,,"Oct 6, 2025 7:42 pm",https://x.com/gu_gu_gurira,稲野,CC BY-NC-ND 4.0
空色が水色ではない中学の窓から見える曇天の頃,,,,"Sep 26, 2025 6:12 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
星だって昼も瞬く見てごらん、夢は案外近くにあって,,,,"Oct 1, 2025 8:29 am",https://x.com/MishinOga,大賀ミシン,CC BY-NC-ND 4.0
酷暑日を乗り切った猛者百日紅ほんのり秋の空にも映える,ひまわりですら頭を下げる中で凛とあざやかな色を緑の中に置いていた百日紅。名前の通りとても咲いている期間も長く、私たちの目をたのしませてくれます。,,,"Oct 1, 2025 3:02 am",https://x.com/@aca_tabby,眠る金魚,CC BY-NC-ND 4.0
