content,author_comment,editor_memo,create_datetime,content_url,author_url,author,license
モスキート音聴こえなくなった夜あなたの胸のリズムを拾う,『蚊(mosquito)』,,2025-07-11 17:32:16,https://x.com/sorapoky/status/1943589141469442117,https://x.com/sorapoky,山口絢子,CC BY-NC-ND 4.0
"傷の無い爪を齧って 日々を未だ≪まだ≫
愛せずにいる 書いて日愛日未≪あいまい≫",,,2025-07-07 19:02:01,https://x.com/p1aybacker/status/1942162176187449659,https://x.com/p1aybacker,再生,CC BY-NC-ND 4.0
禁野にて的場になれば美しき標本として翅を広げる,,,2025-07-07 9:23:41,https://x.com/azplanetaz/status/1942016634941771998,https://x.com/azplanetaz,tanaka azusa,CC BY-NC-ND 4.0
首吊ろうとしたけど紐はすぐ切れてこれうどんだよ！うどんだよお母さん！,自分で読み返しても意味がわからん x.com/tankazine/stat…,,2025-07-06 23:45:58,https://x.com/RCodome/status/1941871249652920503,https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
"三日月に顔があるかと思ったら
目にこびりつく悲しみでした",,,2025-07-06 16:18:18,https://x.com/DB65166/status/1941758589049372999,https://x.com/DB65166,ダニ杉,CC BY-NC-ND 4.0
"生きるため血を吸うことはまあ許そう
でも痒くするのは許さない",O型なので狙われやすいのも許せない。 x.com/tankazine/stat…,,2025-07-06 16:15:19,https://x.com/Precure_Yoisho/status/1941757836616401037,https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
"不可思議の命にたぶん選べずに
きっと神様創り直す気だ",ノアの方舟は何処にもない。 x.com/tankazine/stat…,,2025-07-06 15:55:29,https://x.com/iFb77WoIcv87418/status/1941752848813105359,https://x.com/iFb77WoIcv87418,青海波,CC BY-NC-ND 4.0
夏フェスに知らぬバンドの歌を聞き帰りの道中サブスクで探す,,,2025-07-06 14:48:59,https://x.com/juGAME66/status/1941736113879634138,https://x.com/juGAME66,じゅげむ,CC BY-NC-ND 4.0
暑すぎて夏きてるらし白妙の衣カラッと5秒で乾くわ,,,2025-07-06 1:27:53,https://x.com/tantantankazzz/status/1941534508559540436,https://x.com/tantantankazzz,夜道,CC BY-NC-ND 4.0
存在を感じることを信仰と呼ぶなら私はあなたを信じる,「アイドル」のお題で作ったもの。アイドルのことでもあるし、もっと広く好きなものについてでもある。 x.com/tankazine/stat…,,2025-07-05 21:47:16,https://x.com/honokaoribe/status/1941478988448428477,https://x.com/honokaoribe,ほのか,CC BY-NC-ND 4.0
白日に狂うニーチェを抱きしめて正気の鞭打ち此岸をゆきたい,,,2025-07-05 20:25:05,https://x.com/jn_ov2/status/1941458306368929925,https://x.com/jn_ov2,カニごはん,CC BY-NC-ND 4.0
見たところ糊付けされているだけのリボンをほどくふりをしている,,,2025-07-05 19:19:22,https://x.com/rei_talitha_kum/status/1941441769172033896,https://x.com/rei_talitha_kum,安土れい,CC BY-NC-ND 4.0
夏の夜は足が速くて困るけど祈りを捧げるのには向いてる,7/1「作品の中でなにかを発見してください」に投稿したものの練り直しです。 x.com/tankazine/stat…,,2025-07-05 14:48:57,https://x.com/Silbernekatze_/status/1941373716094755224,https://x.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
ばいばいと何度も何度も言い合ってチーズみたいに溶けていく影,,,2025-07-05 9:17:27,https://x.com/kiroi_iorik/status/1941290291627164045,https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
MidnightMiðgarðsormurMiddle-earthみんな拒絶の水底だった,,,2025-07-05 2:10:32,https://x.com/alen_ires/status/1941182855733969147,https://x.com/alen_ires,Sand Pawns,CC BY-NC-ND 4.0
命令をしてあげようか振り上げた拳は下ろさずゆっくりひらけ,連作の練習として詠んだ中の一首ですが。 x.com/tankazine/stat…,,2025-07-05 1:31:55,https://x.com/takekeke00/status/1941173134172070087,https://x.com/takekeke00,スーパーはるる,CC BY-NC-ND 4.0
渾身の力でしがみつく吾子を同じ力で抱く　初泳ぎ,,,2025-07-04 22:50:18,https://x.com/Chiku_tanka/status/1941132464715702351,https://x.com/Chiku_tanka,知久,CC BY-NC-ND 4.0
「アイスはさ、当たってないのにハズレって書いてないのが憎たらしいよ」,,,2025-07-04 22:43:45,https://x.com/setsuumi/status/1941130817100771777,https://x.com/setsuumi,セツウミ,CC BY-NC-ND 4.0
鏡より手の甲を見て老けたなとドラムスティック指より長し,,,2025-07-04 22:36:18,https://x.com/mukadeyakata/status/1941128940736921945,https://x.com/mukadeyakata,新井宗彦,CC BY-NC-ND 4.0
忘れないこの手を包んだぬくもりとごつごつとした指の感触,,,2025-07-04 22:25:42,https://x.com/HarunagaMutsuki/status/1941126271767027935,https://x.com/HarunagaMutsuki,春永睦月,CC BY-NC-ND 4.0
"死んでくれ！誰かのものに なる前に
世界の終わり 明日来るが良い",,,2025-07-04 22:12:27,https://x.com/Helmi________/status/1941122939665121351,https://x.com/Helmi________,詠,CC BY-NC-ND 4.0
心地いい風吹く夜の静けさが掬う想い出夏の川の字,,,2025-07-04 21:52:13,https://x.com/falleaves__/status/1941117847880798313,https://x.com/falleaves__,渡愛奈,CC BY-NC-ND 4.0
"もういいか十分だよね私達
逃げてばっかで
掬われなくて",,,2025-07-04 20:00:29,https://x.com/Rw2N0gtJoBEKcBY/status/1941089728767652314,https://x.com/Rw2N0gtJoBEKcBY,舞風 奏-かなで-,CC BY-NC-ND 4.0
食べる事で明日を生ける　幸せな時間を共に過ごす同僚,なんぼ食べんねん（ｺﾗｯ pic.x.com/7o6LufoInh x.com/tankazine/stat…,,2025-07-04 19:55:00,https://x.com/AsuranAberu0001/status/1941088346576740524,https://x.com/AsuranAberu0001,春風いざな,CC BY-NC-ND 4.0
テレビから笑いの渦が巻き起こる 私の理解追いつかぬまま,,,2025-07-04 19:33:14,https://x.com/Precure_Yoisho/status/1941082870925480400,https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
偶像と言われようとも聞くまいな骨身に刻め君の御教,南無釈迦牟尼仏,,2025-07-05 21:57:28,https://x.com/WhiteSibaTell/status/1941481556700430765,https://x.com/WhiteSibaTell,幸,CC BY-NC-ND 4.0
生年と産地が近いそれだけの魚群のような卒業写真,,,2025-07-04 19:30:36,https://x.com/tankazine/status/1941082206761583048,https://x.com/fukamie,深水英一郎,CC0
