content,author_comment,editor_memo,create_datetime,content_url,author_url,author,license
友達が海賊王になると言うポケモンマスターはあきらめるのか,,,2025-07-26 23:57:03,https://x.com/RCodome/status/1949121793429737802,https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
海を出て海へ還ってゆくのだね誰にも見えぬ青を纏って,,,2025-07-26 22:17:24,https://x.com/sorapoky/status/1949096715912724651,https://x.com/sorapoky,山口絢子,CC BY-NC-ND 4.0
塵埃を掃いて集めてゴミ箱へ　きっと誰かの思い出の垢,,,2025-07-25 06:46:39,https://x.com/murasameshinco/status/1948500097207087561,https://x.com/murasameshinco,ムラサメシンコ,CC BY-NC-ND 4.0
川面にも空にも錦糸を巡らせて舟が行くのをぼうっとみている,,,2025-07-25 06:06:19,https://x.com/kiroi_iorik/status/1948489948824531002,https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
汗につれズボンが引きずり落ちていく靴にかぶさる赤ちゃんの首,,,2025-07-23 00:23:45,https://x.com/mukadeyakata/status/1947678961884139917,https://x.com/mukadeyakata,新井宗彦,CC BY-NC-ND 4.0
煮込まれし真昼の月の黄味おびて箸の入る君外で済ませど,,,2025-07-22 23:41:14,https://x.com/misosarasenryu/status/1947668263670026740,https://x.com/misosarasenryu,鯖虎,CC BY-NC-ND 4.0
"満月に重なるように蜜柑置く
二人ぼっちの皆既月食",,,2025-07-20 01:08:36,https://x.com/patrasche3580/status/1946603086103052519,https://x.com/patrasche3580,パトラッシュ,CC BY-NC-ND 4.0
手をつなぐことさえ厭う君なのに夜半に僕の腰を抱いてる,,,2025-07-20 00:32:59,https://x.com/Silbernekatze_/status/1946594123890491788,https://x.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
"清澄の声鳴り響く夏空に
波寄するごと我を包みし",生涯の推しの誕生日を寿いで詠んだ歌です pic.x.com/wza2NLXX3Q x.com/tankazine/stat…,,2025-07-19 22:59:37,https://x.com/mizuochi_tanka/status/1946570626996597156,https://x.com/mizuochi_tanka,水落,CC BY-NC-ND 4.0
もののけもよもや我には気付けまい　桜の花ぞ愛でる間は,,,2025-07-19 20:36:04,https://x.com/itucazoya/status/1946534498705043624,https://x.com/itucazoya,いつか,CC BY-NC-ND 4.0
懇願の人の願いは　祠ノ神　子供の病消え去るように,,,2025-07-19 17:14:41,https://x.com/AsuranAberu0001/status/1946483823019184298,https://x.com/AsuranAberu0001,春風いざな,CC BY-NC-ND 4.0
"たぶん空を見上げていない所為だろう
久しく虹を見つけていない",,,2025-07-19 10:21:02,https://x.com/Precure_Yoisho/status/1946379720540684673,https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
#短歌今週の自選 #短歌 pic.x.com/6DLvv6VMcY x.com/tankazine/stat…,,,2025-07-19 08:46:49,https://x.com/que_nieve/status/1946356010618409230,https://x.com/que_nieve,yukion䨮音💗,CC BY-NC-ND 4.0
