content,title,author_comment,eiso_count,editor_memo,create_datetime,author_url,author,license
"心象の海を求めて閉じた目の奥の浜にも樹脂のきらめく
痛覚の無ければよしとちぎる葉と開く子房と殺す豆の子
Ethicalな畑の縁にけだものと貧しき者の肉の連なる
窮乏と銃火に開く雨傘の縁を滴る雨は汚い
飛行機の雲に無邪気にリリカルなモノを見られる土地の幸せ
",幸せの土地,それでも幸せな土地に住んでる。,5,,"Jun 1, 2025 1:59 pm",https://x.com/misosarasenryu,鯖虎,CC BY-NC-ND 4.0
"呼吸とは孤独な作業　会話とは相手の吐いた息を吸うこと
また前の苗字を予測変換の候補に挙げる愚かなスマホ
指に目があれば何かに触れるたび見つめてしまうからなのだろう
人間をたまごで産めば孵化までに割りたくて割りたくて割りたい
なんかもう思い出だけで生きられる紺とピンクをまぜたむらさき
じゃあ、またね。うん。じゃあ、またね。元気でね。うん、元気でね。ばいばい。ばいばい。",ばいばい。ばいばい。,,6,,"Jun 14, 2025 8:07 pm",https://x.com/Shinnsyutu2020,宇祖田都子,CC BY-NC-ND 4.0
"妹に母のとなりを譲った夜一人の布団が怖くて寒い 

また少し自分の影が薄くなり甘え上手を妬んでしまう

泣かないがほんとは強くないのだと誰にも信じてもらえぬ子ども

一位にはなれずビリもなんとか免れて一人遊びがずっと得意だ

もう無いと消えた時間を数えずにまだ咲く花へ水やりをする",一人遊び,,5,,"Jun 9, 2025 6:36 pm",https://x.com/sorapoky,山口絢子,CC BY-NC-ND 4.0
"雷鳴のようなお叱りLINE来てドクターストップアラレちゃんになる
生産性を高めるという名目の言葉で人がどんどんと死ぬ
同性愛差別発言繰り返す""社会人""には嫌われていたい
母曰く「女性は職場の花だった。結婚すると辞めさせられた」
産休をとる先輩の微笑みよ　リプロダクティブ・ヘルス・ライツ
「人は皆いつかは家庭を持つもの」と　透明になるプライドマンス",雷鳴から透明,,6,,"Jun 3, 2025 11:18 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
"できるだけこの身を搬入前にしてざわめく都市を西へ横切る
軽やかに何度も正しく乗換える王を迎える儀式のように
海沿いにパウル・クレーは目をあけるグラデーションはずっと深くの
空間はコンクリートに浮遊するオブジェに感傷してはいけない
色彩の線があやなすポリフォニー絵から聴こえる音楽を観る
哲学が銅版画になり掛けてある苦悩がガラスで守られていて
ウェットインウェット例えばまだ若いふたりが交互に泣くような星
ほんものに触れたあとには嘘じゃなく吐きそうになる愚かな日々に
丁寧にこの身に搬入し終えれば記念にポストカードだけを買う
ロビーなら分身を置いてゆけるかとゆっくり瞬きを五回する
潮風がバレエシューズに似合うから硝子の光る角度の踊り
展示室みたいだと思う人生は時折激しく心が揺れる",音楽を観る〜パウル・クレー展に寄せて〜,,12,,"Jun 14, 2025 4:22 pm",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
"言語から離れた場所に灯らせたシグナル　ずっと待っている　シグナル

火の赤をぼやかしてしまう雨がすき正しいものを連れてくるから

きなさい　濡れた羊を招き入れるときにはぬるい命令形を

吸い込めば雨はゆたかな物語　ちょうど世界をひとめぐりして

ComeとGo、その中間にStayがあり、ここに暖炉があってよかった

乾かしていたはずなのに拭われて、泣いてしまう　強くはいられない

注がれるために頷く　漏れるとか溢れるとかを知らないダムは

うたたねをする唇の隙間から窒素とほんのすこしの讃歌

置き土産の羊毛を集めています。そのうち小さな君を抱けそう

ねがいは舟　流れの前に放たれて行方しれずになっても、それで",ショート・ステイ,いい感じの10首ができたな～と思いつつ、カクヨムと秋の王座の締切がまだ遠いので……そのときはもっとうまくなっているはず、と思い、ここで投げます！,10,,"Jun 14, 2025 4:43 pm",https://x.com/murasaki_zanshi,村崎残滓,CC BY-NC-ND 4.0
"「大雨よ、何をぐずぐずしてるのだ」ゆっくり溶けるボーイフレンド
降雨とてかわいい方が得だから今ではぜんぶガールフレンド
（窓の外にイルカが見える手をつなぐガールフレンドと入れ替わる）
ガールフレンドの数だけ傘を用意する傘工場を一夜で潰す
大雨が僕を濡らして体内にある塔のことを教えてくれる
甘い言葉に汝の汝がぐらついて汝もガールフレンドになる
おやすみん　ガールフレンドは大雨をものともせずに僕宅に着く",体内にある塔のこと,,7,,"Jun 15, 2025 4:47 pm",https://x.com/@umi915uta,海,CC BY-NC-ND 4.0
"ターコイズバックドロップ  意味なんかないけどなんかブン投げたくて
アメジストレインフォレスト 紫の雷雨に濡れる幻想的死
ルビースローダンス私は二人いて互いの欲を補ってたい
声にして楽しい感じ 現実もそんな感じで生きてられたら",ターコイズバックドロップ,,4,,"Jun 2, 2025 3:33 pm",https://x.com/umberhemp,麻数,CC BY-NC-ND 4.0
"歌う君「あなたとはもう、別れたい」ファミマの入店音に合わせて
ファミリーを作れなかったぼくたちが最後に選ぶ弁当ふたつ
あたためてもらえませんか店員さんイヤぼくじゃなくて弁当弁当
帰り道レジ袋さげてない方の手できみに似た虚空をつかむ
欠けていたものが何かはわからずに割り箸も変な形に割れる
ファミチキを片手で握りしめたときしたたるものは涙ではない",ファミリーじゃないマート,1首目だけ過去作です,6,,"Jun 15, 2025 11:50 pm",https://x.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
"花の名を知っているのを咎められ　だから忘れた、忘れてしまった
ああなんてまぶしいえがお、嬉しそう「そんなことも知らないなんて」
パソコンの違いに興味を持てなくて六甲おろしをそっとハミング
ばかだからばかだから　そうばかだから笑うだなんて悪手を取った
見かけると嬉しい花が咲いていた　名前が出ない、思い出せない
喪失を補うように食べ食べ食べ眠れなくなり執着をした
枯野原　自分軸を失って壊れたように泥眼は舞う
ばさばさの心でひとり赴いた植物園に赤い芍薬
芍薬のラベルをそっと撫でながら「シャクヤク」小さく呟いていた
忘却の海で名前をなくしてもはつなつの香は私を見捨てず
お互いに未熟だったね私たち「普通」の響きは甘美だったね",花の名を手放すな,"約20年前の、関西に住んでいた頃のことを思い出しながら読みました。
私も相手も当時の世間の言う「普通」（＝異性愛者で、恋愛適齢期なら恋人がいて然るべきで、男の方が物事をよく知っているべきで、女は物を知らない風に振る舞うべき、みたいな規範　※あくまでも私の肌感覚）にガチガチに縛られていたなと、今となっては思います。
この頃のことを思い出してしまうので、長らく芍薬は好きながらもアンタッチャブルな花でしたが、きっかけがあり思い切ってお迎えしたところ「やっぱり私は芍薬のことが大好きだ〜！！」とブチ上がってしまいました。
私がやるべきだったのは忖度して笑うことではなく、生まれてこのかたずっと好きだったこと（この場合はお花）を含めて大切にしてくれる人を選ぶことでした。
それからずっとひとりですが、少なくとも私はしあわせです。",11,,"May 31, 2025 11:32 pm",https://x.com/leslie_bekkie,別木れすり,CC BY-NC-ND 4.0
