content,author,author_comment,author_url,create_datetime,license
日を跨ぎ死が近づくともったいないお化け」が寝かせてくれない深夜,玉婆,,https://x.com/tamabar,2025/07/20 23:17:22,CC BY-NC-ND 4.0
部屋独りイヤホンの中悦の渦突如細君戸開け目が合い,佐治単騎庵,所謂セルフプレジャー中の事故を詠みました。,https://x.com/gobugari_iyada,2025/07/20 23:18:57,CC BY-NC-ND 4.0
ミャクミャクが 突然家に やってきて 食事と寝床を 求めてくる夜,平　祥盛,ミャクミャクの恐ろしさを表現しました,https://x.com/minipinJ,2025/07/20 23:20:58,CC BY-NC-ND 4.0
トマトって苦手血の色みたいだしちょっと目玉と食感似てるし,井上紗希,,https://x.com/inouesaki_tanka,2025/07/20 23:24:14,CC BY-NC-ND 4.0
海の底、誰かが沈めたピアノから低オクターブのシだけが響いて,He lock key.,,https://x.com/huGaku17,2025/07/20 23:34:28,CC BY-NC-ND 4.0
私だけ君を愛しているのはと繰り返し呟いているんだ,ひめか,,https://x.com/pinkyhimeka1,2025/07/20 23:35:55,CC BY-NC-ND 4.0
狭すぎる差別を許す世の中でみんなが同じ方を向くこと,谷まのん,,https://x.com/tanimanon258x,2025/07/20 23:42:50,CC BY-NC-ND 4.0
野良犬もゴミ箱もベンチも消えていくその時がきて僕が消えていく,新井宗彦,,https://x.com/mukadeyakata,2025/07/20 23:42:51,CC BY-NC-ND 4.0
人間を殴ったピッチと音程は老若男女で違うんですね,遠藤月尾　えんどうつきお,暴力は良くないです。,https://x.com/tsuki06end,2025/07/20 23:55:22,CC BY-NC-ND 4.0
ゴロゴロと ピカドン並みの 雷鳴に 走って逃げる 子らの悲しさ,からめる7373,夏の雷鳴の音は、ゴロゴロととても大きく恐ろしい、それが時として原爆の音に似ていて恐ろしい、その雷鳴の只中において、通学中の子供が、走って逃げる様子が、彼らにとって当然に恐ろしく時として悲しく思える、その描写が私にも子供自体に戻ったようで共感できる。という背景。,https://x.com/caramel7373,2025/07/21 0:11:55,CC BY-NC-ND 4.0
親友が首を吊った。僕が昨日彼の気持ちをバカにしたから,森龍夏,恋するって怖いことですよね。僕はもう懲り懲りです。,https://x.com/vgq3QPRWfS63624,2025/07/21 2:58:15,CC BY-NC-ND 4.0
のまれてく 深く沈んで のまれてく もがく苦しさも 薄れるほどに 深く深く⋯,舞雫-マイナ-,,https://x.com/myna_sing,2025/07/21 0:46:27,CC BY-NC-ND 4.0
